Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
ITI 2-1  SIN INGLES,,,,,,,ITI 2-2,,,,,,,ITI 5-1,,,,,,,ITI 5-2,,,,,,,ITI 8-1,,,,,,,,,,,,
,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,L,M,M,J,V,,,,,,,
7:00-7:55,"Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo","Fundamentos de Redes
M.T.I. Israel Pulido Picazo",,7:00-7:55,"Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño",,7:00-7:55,"Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón","Estructura de datos
Dr. Said Polanco Martagón",,7:00-7:55,"Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna",,7:00-7:55,"Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos","Programación WEB
M.I. Arturo G. Mascorro Cienfuegos",,,,,,,
7:55- 8:50,INGLES I,INGLES I,INGLES I,INGLES I,INGLES I,,7:55- 8:50,"INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo","INGLÉS  II
Lic. Rodrigo Caballero Quevedo",,7:55- 8:50,"Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Estructura de datos
Dr. Said Polanco Martagón",,7:55- 8:50,"Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Estructura de datos
Dra. Karla E. Vázquez Ortiz","Ingeniería de Requerimientos
Alma D. Amaya Vazquez",,7:55- 8:50,"Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Minería de datos Aplicada
Dr. Jean-Michael Recher","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda",,,,,,,
8:50 A 9 45,"Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez",,8:50 A 9 45,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Inteligencia Emocional
Myriam Ornela Llerena","Inteligencia Emocional
Myriam Ornela Llerena","Inteligencia Emocional
Myriam Ornela Llerena","Fudamentos de Física
Eduardo Patricio González Nuño",,8:50 A 9 45,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,,8:50 A 9 45,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,INGLÉS V,,8:50 A 9 45,"Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda",,,,,,,
9:45-10:40,"Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Fudamentos de Física
Eduardo Patricio González Nuño","Fudamentos de Física
Eduardo Patricio González Nuño",,9:45-10:40,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,9:45-10:40,"Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna","Diseño de Bases de Datos
M.C. Omar Jasso Luna",,9:45-10:40,"Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Ingeniería de Requerimientos
Alma D. Amaya Vazquez","Tecnologías WAN
M.A.T. Hiram Herrera Rivas",CAI,,9:45-10:40,"Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna","Graficación Por Computadora Avanzada
Dr. Marco A. Nuño Maganda","Negocios Electrónicos
M.S.I. Mario H. Rodriguez Chávez","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:10-12:05,"Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,11:10-12:05,"Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Herramientas Multimedia
M.S.I. Mario H. Rodriguez Chávez","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas",,11:10-12:05,"Probabilidad y Estadística
M.C. Maribel A. Marin C.","Habilidades Organizacionales
Myriam Ornela Llerena","Habilidades Organizacionales
Myriam Ornela Llerena","Habilidades Organizacionales
Myriam Ornela Llerena","Probabilidad y Estadística
M.C. Maribel A. Marin C.",,11:10-12:05,"Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Probabilidad y Estadística
Dr. Héctor Hugo Avilés",,11:10-12:05,,,,,,,,,,,,
12:05-13:00,"Inteligencia Emocional
Luis F. Castillo Cortés","Inteligencia Emocional
Luis F. Castillo Cortés","Inteligencia Emocional
Luis F. Castillo Cortés","Matemáticas Discretas
Erendira Guiterrez Meza","Lógica Computacional
M.C.A. Jorge Arturo Hernández Almazan",,12:05-13:00,"Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas","Matemáticas Discretas
Maribel A. Marin Castro","Fundamentos de Redes
M.A.T. Hiram Herrera Rivas",,12:05-13:00,"Probabilidad y Estadística
M.C. Maribel A. Marin C.","Probabilidad y Estadística
M.C. Maribel A. Marin C.","Probabilidad y Estadística
M.C. Maribel A. Marin C.","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Probabilidad y Estadística
M.C. Maribel A. Marin C.",,12:05-13:00,"Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Estructura de datos
Dra. Karla E. Vázquez Ortiz",,12:05-13:00,"Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Proyectos de Tecnologías de la Información
Erendira Guiterrez Meza","Administración de Sistemas Integrales
M.S.I. José Fidencio López Luna","Minería de datos Aplicada
Dr. Jean-Michael Recher",,,,,,,
13:00-13:55,"Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza","Matemáticas Discretas
Erendira Guiterrez Meza",,13:00-13:55,"Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro","Matemáticas Discretas
Maribel A. Marin Castro",,13:00-13:55,"Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas","Tecnologías WAN
M.A.T. Hiram Herrera Rivas",CAI,,13:00-13:55,"Habilidades Organizacionales
Lic. Alma Leticia","Habilidades Organizacionales
Lic. Alma Leticia","Habilidades Organizacionales
Lic. Alma Leticia","Probabilidad y Estadística
Dr. Héctor Hugo Avilés","Estructura de datos
Dra. Karla E. Vázquez Ortiz",,13:00-13:55,"INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García","INGLÉS  VIII
Lic. José Alfredo Urbiola García",,,,,,,
14:00-14:55,,,,,,,14:00-14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
